2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Users/dell/.gradle/caches/modules-2/files-2.1/junit/junit/4.13.1/cdd00374f1fee76b11e2a9d127405aa3f6be5b6a/junit-4.13.1.jar
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.prefs
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.se
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.crypto.mscapi
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.zipfs
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Users/dell/.gradle/caches/modules-2/files-2.1/org.hamcrest/hamcrest-core/1.3/42a25dc3219429f0e5d060061f71acb49bf010a0/hamcrest-core-1.3.jar
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.httpserver
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.compiler
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.unsupported
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.logging
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.security.sasl
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.internal.vm.compiler
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.sql.rowset
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.base
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.sql
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.scripting.nashorn.shell
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.security.auth
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.crypto.cryptoki
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jdi
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Users/dell/.gradle/caches/modules-2/files-2.1/org.opentest4j/opentest4j/1.2.0/28c11eb91f9b6d8e200631d46e20a7f407f2a046/opentest4j-1.2.0.jar
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.management
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.management
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.attach
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.scripting
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.internal.vm.ci
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.unsupported.desktop
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.internal.le
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jlink
